symbol,longShortRatio,timestamp
BTCUSDT,1.8043,1653516900000
BTCUSDT,1.8066,1653516600000
BTCUSDT,1.8169,1653516300000
BTCUSDT,1.8225,1653516000000
BTCUSDT,1.8225,1653515700000
BTCUSDT,1.8233,1653515400000
BTCUSDT,1.8297,1653515100000
BTCUSDT,1.8313,1653514800000
BTCUSDT,1.8345,1653514500000
BTCUSDT,1.8401,1653514200000
BTCUSDT,1.8361,1653513900000
BTCUSDT,1.8321,1653513600000
BTCUSDT,1.8369,1653513300000
BTCUSDT,1.8450,1653513000000
BTCUSDT,1.8547,1653512700000
BTCUSDT,1.8588,1653512400000
BTCUSDT,1.8580,1653512100000
BTCUSDT,1.8555,1653511800000
BTCUSDT,1.8466,1653511500000
BTCUSDT,1.8498,1653511200000
BTCUSDT,1.8361,1653510900000
BTCUSDT,1.8257,1653510600000
BTCUSDT,1.8257,1653510300000
BTCUSDT,1.8177,1653510000000
BTCUSDT,1.7956,1653509700000
BTCUSDT,1.7886,1653509400000
BTCUSDT,1.7793,1653509100000
BTCUSDT,1.7450,1653508800000
BTCUSDT,1.7315,1653508500000
BTCUSDT,1.7255,1653508200000
BTCUSDT,1.7248,1653507900000
BTCUSDT,1.7196,1653507600000
BTCUSDT,1.7086,1653507300000
BTCUSDT,1.7034,1653507000000
BTCUSDT,1.6882,1653506700000
BTCUSDT,1.6781,1653506400000
BTCUSDT,1.6831,1653506100000
BTCUSDT,1.6860,1653505800000
BTCUSDT,1.7049,1653505500000
BTCUSDT,1.7020,1653505200000
BTCUSDT,1.7078,1653504900000
BTCUSDT,1.7034,1653504600000
BTCUSDT,1.7042,1653504300000
BTCUSDT,1.6846,1653504000000
BTCUSDT,1.7130,1653503700000
BTCUSDT,1.7108,1653503400000
BTCUSDT,1.7322,1653503100000
BTCUSDT,1.7390,1653502800000
BTCUSDT,1.7563,1653502500000
BTCUSDT,1.7964,1653502200000
BTCUSDT,1.7832,1653501900000
BTCUSDT,1.7601,1653501600000
BTCUSDT,1.7840,1653501300000
BTCUSDT,1.8185,1653501000000
BTCUSDT,1.8329,1653500700000
BTCUSDT,1.8433,1653500400000
BTCUSDT,1.8233,1653500100000
BTCUSDT,1.8177,1653499800000
BTCUSDT,1.8090,1653499500000
BTCUSDT,1.8050,1653499200000
BTCUSDT,1.7840,1653498900000
BTCUSDT,1.7886,1653498600000
BTCUSDT,1.7816,1653498300000
BTCUSDT,1.7693,1653498000000
BTCUSDT,1.7663,1653497700000
BTCUSDT,1.7670,1653497400000
BTCUSDT,1.7367,1653497100000
BTCUSDT,1.7211,1653496800000
BTCUSDT,1.7203,1653496500000
BTCUSDT,1.7211,1653496200000
BTCUSDT,1.7152,1653495900000
BTCUSDT,1.7078,1653495600000
BTCUSDT,1.6903,1653495300000
BTCUSDT,1.6838,1653495000000
BTCUSDT,1.6874,1653494700000
BTCUSDT,1.6853,1653494400000
BTCUSDT,1.6788,1653494100000
BTCUSDT,1.6867,1653493800000
BTCUSDT,1.6903,1653493500000
BTCUSDT,1.6874,1653493200000
BTCUSDT,1.6802,1653492900000
BTCUSDT,1.6998,1653492600000
BTCUSDT,1.7012,1653492300000
BTCUSDT,1.7042,1653492000000
BTCUSDT,1.7086,1653491700000
BTCUSDT,1.7137,1653491400000
BTCUSDT,1.7248,1653491100000
BTCUSDT,1.7233,1653490800000
BTCUSDT,1.7137,1653490500000
BTCUSDT,1.7049,1653490200000
BTCUSDT,1.7189,1653489900000
BTCUSDT,1.7322,1653489600000
BTCUSDT,1.7473,1653489300000
BTCUSDT,1.7693,1653489000000
BTCUSDT,1.7894,1653488700000
BTCUSDT,1.7925,1653488400000
BTCUSDT,1.8345,1653488100000
BTCUSDT,1.8393,1653487800000
BTCUSDT,1.8571,1653487500000
BTCUSDT,1.8547,1653487200000
BTCUSDT,1.8563,1653486900000
BTCUSDT,1.8433,1653486600000
BTCUSDT,1.8353,1653486300000
BTCUSDT,1.8289,1653486000000
BTCUSDT,1.8145,1653485700000
BTCUSDT,1.7793,1653485400000
BTCUSDT,1.8058,1653485100000
BTCUSDT,1.8027,1653484800000
BTCUSDT,1.8153,1653484500000
BTCUSDT,1.8345,1653484200000
BTCUSDT,1.8377,1653483900000
BTCUSDT,1.8257,1653483600000
BTCUSDT,1.8321,1653483300000
BTCUSDT,1.8401,1653483000000
BTCUSDT,1.7972,1653482700000
BTCUSDT,1.7980,1653482400000
BTCUSDT,1.7847,1653482100000
BTCUSDT,1.7902,1653481800000
BTCUSDT,1.7847,1653481500000
BTCUSDT,1.7824,1653481200000
BTCUSDT,1.7685,1653480900000
BTCUSDT,1.7563,1653480600000
BTCUSDT,1.7152,1653480300000
BTCUSDT,1.7078,1653480000000
BTCUSDT,1.6969,1653479700000
BTCUSDT,1.6911,1653479400000
BTCUSDT,1.6882,1653479100000
BTCUSDT,1.6638,1653478800000
BTCUSDT,1.6357,1653478500000
BTCUSDT,1.6810,1653478200000
BTCUSDT,1.7241,1653477900000
BTCUSDT,1.7352,1653477600000
BTCUSDT,1.7322,1653477300000
BTCUSDT,1.7655,1653477000000
BTCUSDT,1.7685,1653476700000
BTCUSDT,1.7755,1653476400000
